Age,Income,Num_Transactions,Spending_Score,Target
56.0,0.3463963332866321,0.43877551020408156,0.3347838054927739,0
69.0,0.35820507175309735,0.48979591836734687,0.7861936656024143,0
46.0,0.4624522146388328,0.7551020408163265,0.7088489120204664,1
32.0,0.7368252506855073,0.6122448979591836,0.7899178506667246,1
60.0,0.38486479995196443,0.673469387755102,0.5181196366781662,0
25.0,0.10214558773492385,0.05102040816326531,0.4409211103207919,0
38.0,0.9083221583972139,0.08163265306122448,0.14768666077342812,0
56.0,0.01002742029101536,0.05102040816326531,0.3287281630699945,0
36.0,0.5042531473290235,0.7346938775510203,0.43473117772773673,0
40.0,0.9547264976082301,0.9591836734693877,0.0887364633460034,0
28.0,0.061735684406460795,0.31632653061224486,0.22096803602694484,0
28.0,0.567750135099974,0.4081632653061224,0.5992108200330024,1
41.0,0.47890438924804357,0.7653061224489796,0.7368777349377783,1
53.0,0.04575385785481256,0.07142857142857142,1.0,0
57.0,0.03538618577747535,0.7244897959183673,0.934657081272986,0
41.0,0.061125232672177426,0.5,0.6436246355725085,0
20.0,0.07506554850589439,0.9285714285714285,0.42193857638116655,0
39.0,0.7378860356663931,0.6224489795918366,0.6372261528810188,1
19.0,0.8215279306686949,0.846938775510204,0.7869495644801607,1
41.0,0.2669375337749935,0.6224489795918366,0.11852179104946205,0
61.0,0.06315673598462865,0.061224489795918366,0.4105765048947769,0
47.0,0.26028260913075674,0.7551020408163265,0.8411904956362822,0
55.0,0.7990412905550107,0.846938775510204,0.3844611078892569,0
19.0,0.12859516041870986,0.8061224489795917,0.5728138694142288,0
38.0,0.7347337029401757,0.030612244897959183,0.5887374578647946,1
50.0,0.7773252206632908,0.05102040816326531,0.18477210194985075,0
29.0,0.8126413546024058,0.5816326530612245,0.3628275967772487,0
39.0,0.23232191821948242,0.21428571428571425,0.33505723055167363,0
61.0,0.7226747793367092,0.2551020408163265,0.026228721605088,0
42.0,0.8144927246162159,0.020408163265306124,0.024220434927600013,0
66.0,0.5998839140964314,0.4081632653061224,0.8330717430706203,1
44.0,0.6296759602105558,0.6020408163265305,0.27351433681529647,0
59.0,0.8466164962071934,0.13265306122448978,0.5189306961784349,1
45.0,0.5453335468246503,0.7551020408163265,0.29921186428707924,0
33.0,0.48422832896343293,0.8265306122448979,0.9422356066458945,1
32.0,0.34494525949202415,0.11224489795918367,0.2597173257798622,0
64.0,0.7569901727278187,0.8775510204081631,0.4303613523643196,0
68.0,0.7608630386485999,0.11224489795918367,0.8741733480204784,1
61.0,0.17212737425695016,0.12244897959183672,0.8433253294192468,0
69.0,0.03754778536116726,0.24489795918367346,0.18639997564513608,0
20.0,0.27984708684426474,0.44897959183673464,0.8039695796004296,0
54.0,0.586393931509317,0.18367346938775508,0.45893898306617065,0
68.0,0.2724516141945039,0.5510204081632653,0.48376227743772904,0
24.0,0.9244440886255829,0.44897959183673464,0.13369081567027505,0
38.0,0.01546144146668535,0.07142857142857142,0.08072421405227562,0
26.0,0.7115065148209675,0.9387755102040816,0.729141052878992,1
