Age,Income,Num_Transactions,Spending_Score,Target
56.0,0.3463963332866321,0.4387755102040815,0.3347838054927739,0
69.0,0.3582050717530973,0.4897959183673468,0.7861936656024143,0
46.0,0.4624522146388328,0.7551020408163265,0.7088489120204664,1
32.0,0.7368252506855073,0.6122448979591836,0.7899178506667246,1
60.0,0.3848647999519644,0.673469387755102,0.5181196366781662,0
25.0,0.1021455877349238,0.0510204081632653,0.4409211103207919,0
38.0,0.908322158397214,0.0816326530612244,0.1476866607734281,0
56.0,0.0100274202910153,0.0510204081632653,0.3287281630699945,0
36.0,0.5042531473290235,0.7346938775510203,0.4347311777277367,0
40.0,0.95472649760823,0.9591836734693876,0.0887364633460034,0
28.0,0.0617356844064607,0.3163265306122448,0.2209680360269448,0
28.0,0.567750135099974,0.4081632653061224,0.5992108200330024,1
41.0,0.4789043892480435,0.7653061224489796,0.7368777349377783,1
53.0,0.0457538578548125,0.0714285714285714,1.0,0
57.0,0.0353861857774753,0.7244897959183673,0.934657081272986,0
41.0,0.0611252326721774,0.5,0.6436246355725085,0
20.0,0.0750655485058943,0.9285714285714284,0.4219385763811665,0
39.0,0.7378860356663931,0.6224489795918366,0.6372261528810188,1
19.0,0.8215279306686949,0.846938775510204,0.7869495644801607,1
41.0,0.2669375337749935,0.6224489795918366,0.118521791049462,0
61.0,0.0631567359846286,0.0612244897959183,0.4105765048947769,0
47.0,0.2602826091307567,0.7551020408163265,0.8411904956362822,0
55.0,0.7990412905550107,0.846938775510204,0.3844611078892569,0
19.0,0.1285951604187098,0.8061224489795917,0.5728138694142288,0
38.0,0.7347337029401757,0.0306122448979591,0.5887374578647946,1
50.0,0.7773252206632908,0.0510204081632653,0.1847721019498507,0
29.0,0.8126413546024058,0.5816326530612245,0.3628275967772487,0
39.0,0.2323219182194824,0.2142857142857142,0.3350572305516736,0
61.0,0.7226747793367092,0.2551020408163265,0.026228721605088,0
42.0,0.8144927246162159,0.0204081632653061,0.0242204349276,0
