Age,Income,Num_Transactions,Target
56.0,54674.0,0.43877551020408156,0
69.0,55854.0,0.48979591836734687,0
46.0,66271.0,0.7551020408163265,1
32.0,93688.0,0.6122448979591836,1
60.0,58518.0,0.673469387755102,0
25.0,30267.0,0.05102040816326531,0
38.0,110825.0,0.08163265306122448,0
56.0,21062.0,0.05102040816326531,0
36.0,70448.0,0.7346938775510203,0
40.0,115462.0,0.9591836734693877,0
28.0,26229.0,0.31632653061224486,0
28.0,76793.0,0.4081632653061224,1
41.0,67915.0,0.7653061224489796,1
53.0,24632.0,0.07142857142857142,0
57.0,23596.0,0.7244897959183673,0
41.0,26168.0,0.5,0
20.0,27561.0,0.9285714285714285,0
39.0,93794.0,0.6224489795918366,1
19.0,102152.0,0.846938775510204,1
41.0,46734.0,0.6224489795918366,0
61.0,26371.0,0.061224489795918366,0
47.0,46069.0,0.7551020408163265,0
55.0,99905.0,0.846938775510204,0
19.0,32910.0,0.8061224489795917,0
38.0,93479.0,0.030612244897959183,1
50.0,97735.0,0.05102040816326531,0
29.0,101264.0,0.5816326530612245,0
39.0,43275.0,0.21428571428571425,0
61.0,92274.0,0.2551020408163265,0
42.0,101449.0,0.020408163265306124,0
66.0,80004.0,0.4081632653061224,1
44.0,82981.0,0.6020408163265305,0
59.0,104659.0,0.13265306122448978,1
45.0,74553.0,0.7551020408163265,0
33.0,68447.0,0.8265306122448979,1
32.0,54529.0,0.11224489795918367,0
64.0,95703.0,0.8775510204081631,0
68.0,96090.0,0.11224489795918367,1
61.0,37260.0,0.12244897959183672,0
69.0,23812.0,0.24489795918367346,0
20.0,48024.0,0.44897959183673464,0
54.0,78656.0,0.18367346938775508,0
68.0,47285.0,0.5510204081632653,0
24.0,112436.0,0.44897959183673464,0
38.0,21605.0,0.07142857142857142,0
26.0,91158.0,0.9387755102040816,1
56.0,92303.0,0.5306122448979591,0
35.0,47139.0,0.5510204081632653,0
21.0,97149.0,0.31632653061224486,1
42.0,76138.0,0.510204081632653,1
31.0,96125.0,0.43877551020408156,0
67.0,33918.0,0.8265306122448979,0
26.0,105655.0,0.7040816326530611,0
43.0,47446.0,0.173469387755102,0
19.0,33046.0,0.836734693877551,0
37.0,44818.0,0.21428571428571425,0
45.0,24324.0,0.36734693877551017,0
64.0,96323.0,0.9693877551020408,0
24.0,29111.0,0.5612244897959183,0
61.0,58110.0,0.5918367346938775,0
25.0,36389.0,0.020408163265306124,0
64.0,61427.0,0.2755102040816326,1
52.0,99579.0,0.7448979591836734,0
31.0,48746.0,0.346938775510204,0
34.0,107886.0,0.6122448979591836,1
53.0,20117.0,0.9387755102040816,0
67.0,104471.0,0.5408163265306122,1
57.0,33234.0,0.6326530612244897,0
21.0,73441.0,0.7959183673469387,0
19.0,20846.0,0.9795918367346937,0
23.0,30954.0,0.061224489795918366,0
59.0,99239.0,0.7653061224489796,1
21.0,66514.0,0.48979591836734687,0
46.0,108236.0,0.9489795918367346,1
35.0,117579.0,0.8571428571428571,0
43.0,26469.0,0.3061224489795918,0
61.0,50105.0,0.5816326530612245,0
51.0,62101.0,0.6122448979591836,0
27.0,84323.0,0.2346938775510204,1
53.0,111922.0,0.19387755102040813,1
31.0,78067.0,0.36734693877551017,1
48.0,69376.0,0.030612244897959183,1
65.0,65587.0,0.9285714285714285,0
32.0,56976.0,0.19387755102040813,0
25.0,87584.0,0.6020408163265305,0
31.0,98477.0,0.2346938775510204,1
40.0,62533.0,0.5,1
57.0,21828.0,0.48979591836734687,0
38.0,21917.0,0.510204081632653,0
33.0,40618.0,0.9693877551020408,0
62.0,52254.0,0.3571428571428571,0
35.0,67362.0,0.9897959183673468,0
64.0,40128.0,0.6632653061224489,0
41.0,79383.0,0.7959183673469387,1
43.0,85545.0,0.336734693877551,0
42.0,102180.0,0.3571428571428571,0
62.0,107958.0,0.05102040816326531,0
58.0,29865.0,0.38775510204081626,0
46.0,22219.0,0.4183673469387755,0
32.0,59809.0,0.5816326530612245,0
62.0,25287.0,0.11224489795918367,0
18.0,54387.0,0.020408163265306124,0
42.0,28512.0,0.173469387755102,0
24.0,21342.0,0.39795918367346933,0
26.0,83076.0,0.2040816326530612,1
41.0,39216.0,0.14285714285714282,0
18.0,113070.0,0.9795918367346937,1
61.0,99767.0,0.9999999999999999,1
25.0,117829.0,0.2551020408163265,0
41.0,46614.0,0.07142857142857142,0
28.0,56258.0,0.9489795918367346,0
68.0,113789.0,0.8775510204081631,0
34.0,62078.0,0.4183673469387755,1
25.0,103524.0,0.43877551020408156,1
52.0,116573.0,0.13265306122448978,1
52.0,32219.0,0.7857142857142856,0
50.0,20235.0,0.01020408163265306,0
22.0,62929.0,0.36734693877551017,1
59.0,87444.0,0.693877551020408,1
56.0,28567.0,0.37755102040816324,0
58.0,90792.0,0.4081632653061224,1
45.0,85441.0,0.6224489795918366,1
24.0,104555.0,0.6020408163265305,0
26.0,93698.0,0.13265306122448978,0
25.0,25415.0,0.8979591836734693,0
29.0,56159.0,0.846938775510204,0
51.0,63925.0,0.01020408163265306,0
50.0,25951.0,0.7040816326530611,0
65.0,107388.0,0.16326530612244897,0
40.0,28007.0,0.8979591836734693,0
41.0,61832.0,0.2755102040816326,1
54.0,78596.0,0.6632653061224489,0
52.0,50523.0,0.346938775510204,0
61.0,108861.0,0.04081632653061224,1
57.0,106740.0,0.6530612244897959,1
39.0,35524.0,0.39795918367346933,0
44.0,39282.0,0.7653061224489796,0
52.0,43930.0,0.5612244897959183,0
18.0,20077.0,0.3571428571428571,0
52.0,40611.0,0.44897959183673464,0
54.0,36984.0,0.22448979591836732,0
64.0,34060.0,0.4693877551020408,0
31.0,102985.0,0.3061224489795918,1
20.0,104056.0,0.1020408163265306,1
18.0,63303.0,0.09183673469387754,0
22.0,79207.0,0.673469387755102,0
43.0,95046.0,0.13265306122448978,1
31.0,49287.0,0.8061224489795917,0
56.0,113709.0,0.7448979591836734,0
44.0,59711.0,0.9387755102040816,0
26.0,31954.0,0.09183673469387754,0
32.0,93340.0,0.7653061224489796,0
32.0,92101.0,0.9489795918367346,1
43.0,91520.0,0.0,0
59.0,107062.0,0.04081632653061224,1
30.0,38574.0,0.19387755102040813,0
68.0,29184.0,0.07142857142857142,0
49.0,39096.0,0.42857142857142855,0
56.0,87728.0,0.7653061224489796,0
66.0,54016.0,0.0,0
69.0,31246.0,0.5714285714285714,0
49.0,65558.0,0.6428571428571428,0
21.0,38381.0,0.846938775510204,0
47.0,56455.0,0.2755102040816326,0
54.0,112263.0,0.36734693877551017,0
40.0,24018.0,0.4693877551020408,0
56.0,31302.0,0.7653061224489796,0
62.0,87506.0,0.36734693877551017,0
32.0,61157.0,0.48979591836734687,1
60.0,74917.0,0.43877551020408156,0
46.0,112738.0,0.5612244897959183,0
53.0,116646.0,0.2755102040816326,0
30.0,103122.0,0.7959183673469387,1
49.0,44519.0,0.05102040816326531,0
24.0,116809.0,0.6122448979591836,0
68.0,107487.0,0.19387755102040813,0
39.0,76819.0,0.7857142857142856,1
45.0,100910.0,0.01020408163265306,0
19.0,91324.0,0.7346938775510203,1
59.0,25408.0,0.36734693877551017,0
62.0,79379.0,0.19387755102040813,1
23.0,45053.0,0.2551020408163265,0
45.0,29446.0,0.2857142857142857,0
45.0,20922.0,0.0,0
61.0,118723.0,0.346938775510204,1
61.0,71356.0,0.7040816326530611,1
